essay,Environment,Population,evolline,Replicate,Growth
2,5,2,1,4,0.02921871
2,5,2,1,5,-0.196779543
2,5,2,1,6,-0.196779543
2,5,2,1,7,0.197424438
2,5,2,1,8,0.179315065
2,5,2,1,9,0.304414272
2,5,2,1,10,0.268997946
2,5,2,1,11,-0.218524329
2,5,2,1,12,0.050963496
2,6,2,1,1,0
2,6,2,1,2,-0.084339845
2,6,2,1,3,0.050645232
2,6,2,1,4,-0.059632178
2,6,2,1,5,-0.108803284
2,6,2,1,6,-0.086921306
2,6,2,1,7,0.211233116
2,6,2,1,8,0.036192173
2,6,2,1,9,0.026181792
2,6,2,1,10,-0.124638333
2,6,2,1,11,-0.146210773
2,6,2,1,12,-0.170674213
2,7,2,1,1,0.06154649
2,7,2,1,2,0.145254849
2,7,2,1,3,-0.179704217
2,7,2,1,4,-0.167050626
2,7,2,1,5,-0.167050626
2,7,2,1,6,0.202932772
2,7,2,1,7,-0.167050626
2,7,2,1,8,-0.10521442
2,7,2,1,9,0.076214429
2,7,2,1,10,-0.10521442
2,7,2,1,11,-0.179704217
2,7,2,1,12,-0.179704217
2,8,2,1,1,-0.182462889
2,8,2,1,2,-0.182462889
2,8,2,1,3,0.109312
2,8,2,1,4,-0.107764127
2,8,2,1,5,-0.107764127
2,8,2,1,6,-0.182462889
2,8,2,1,7,-0.03728541
2,8,2,1,8,0.063037973
2,8,2,1,9,-0.059051041
2,8,2,1,10,-0.182462889
2,8,2,1,11,-0.144972719
2,8,2,1,12,-0.059051041
2,1,3,1,2,0.246074743
2,1,3,1,3,0.281133224
2,1,3,1,4,0.35777635
2,1,3,1,5,-0.193486954
2,1,3,1,6,-0.216880843
2,1,3,1,7,0.366562692
2,1,3,1,8,0.298471333
2,1,3,1,9,0.283191933
2,1,3,1,10,0.30013209
2,1,3,1,11,0.35204303
2,1,3,1,12,0.30013209
2,2,3,1,1,-0.218811861
2,2,3,1,2,0.18095076
2,2,3,1,4,0.346972614
2,2,3,1,5,0.234029494
2,2,3,1,6,-0.087481685
2,2,3,1,7,-0.196492907
2,2,3,1,8,0.287184194
2,2,3,1,9,0.268690333
2,2,3,1,10,0.13308018
2,2,3,1,11,0.277100479
2,2,3,1,12,0.316042407
2,3,3,1,1,0.242311717
2,3,3,1,2,0.264961823
2,3,3,1,3,0.346548076
2,3,3,1,4,-0.150414339
2,3,3,1,5,0.255558792
2,3,3,1,6,0.278957575
2,3,3,1,7,0.162404153
2,3,3,1,8,0.090771837
2,3,3,1,9,0.259225757
2,3,3,1,10,-0.086110811
2,3,3,1,11,-0.129585588
2,3,3,1,12,-0.21653514
2,4,3,1,1,0.162694457
2,4,3,1,2,0.219612196
2,4,3,1,3,0
2,4,3,1,4,0.084078073
2,4,3,1,5,0.099457964
2,4,3,1,6,0.108309582
2,4,3,1,7,0.173530232
2,4,3,1,8,0.128352525
2,4,3,1,9,-0.061025173
2,4,3,1,10,0.222588034
2,4,3,1,11,0.127105
2,4,3,1,12,0.123689473
2,5,3,1,1,-0.218524329
2,5,3,1,2,0.050963496
2,5,3,1,3,0.28636447
2,5,3,1,4,0.025523728
2,5,3,1,5,0.209499428
2,5,3,1,6,-0.153146443
2,5,3,1,7,0.02420704
2,5,3,1,8,0.025523728
2,5,3,1,9,0.050963496
2,5,3,1,10,0.333204358
2,5,3,1,11,-0.218524329
2,5,3,1,12,0.377337486
2,6,3,1,1,0.085527819
2,6,3,1,2,0.085527819
2,6,3,1,3,0.051717684
2,6,3,1,4,0.140113115
2,6,3,1,5,-0.108803284
2,6,3,1,6,-0.059632178
2,6,3,1,7,-0.146210773
2,6,3,1,8,-0.045321983
2,6,3,1,9,0.143830118
2,6,3,1,10,0.063645841
2,6,3,1,12,0.080480937
2,7,3,1,1,0.123382696
2,7,3,1,2,-0.179704217
2,7,3,1,5,-0.167050626
2,7,3,1,6,0.097718352
2,7,3,1,7,0.175847097
2,7,3,1,8,0.085444203
2,7,3,1,9,0.042532496
2,7,3,1,10,-0.167050626
2,7,3,1,11,-0.167050626
2,7,3,1,12,0.049368479
2,8,3,1,1,0.084130835
2,8,3,1,2,-0.182462889
2,8,3,1,3,-0.170153885
2,8,3,1,4,-0.059051041
2,8,3,1,5,0.05026096
2,8,3,1,6,-0.182462889
2,8,3,1,7,-0.144972719
2,8,3,1,8,0.021765631
2,8,3,1,9,0.084130835
2,8,3,1,10,-0.182462889
2,8,3,1,11,0.129529758
2,8,3,1,12,-0.048713086
2,1,4,1,1,0.281531176
2,1,4,1,2,0.390750548
2,1,4,1,3,0.330912355
2,1,4,1,4,0
2,1,4,1,5,0.085429469
2,1,4,1,6,0.2996495
2,1,4,1,7,0.281531176
2,1,4,1,8,0.314166102
2,1,4,1,9,-0.149832287
2,1,4,1,10,0.283191933
2,1,4,1,11,0.404804212
2,1,4,1,12,-0.216880843
2,2,4,1,1,0.240596194
2,2,4,1,2,0.319863839
2,2,4,1,3,0.206516522
2,2,4,1,4,-0.218811861
2,2,4,1,6,0.192467725
2,2,4,1,7,-0.218811861
2,2,4,1,8,-0.196492907
2,2,4,1,9,0.100537436
2,2,4,1,10,-0.218811861
2,2,4,1,11,0.179655727
2,2,4,1,12,-0.196492907
2,3,4,1,1,0.261956264
2,3,4,1,2,0.378315462
2,3,4,1,3,0.29735929
2,3,4,1,4,0.203566942
2,3,4,1,5,0.24536744
2,3,4,1,6,-0.193889115
2,3,4,1,7,0.221610605
2,3,4,1,8,0.140106237
2,3,4,1,9,0.264961823
2,3,4,1,10,0.361016471
2,3,4,1,11,-0.21653514
2,3,4,1,12,-0.150414339
2,4,4,1,1,0.177884809
2,4,4,1,2,0.048986199
2,4,4,1,3,0.104121016
2,4,4,1,4,0.104121016
2,4,4,1,5,0.179402823
2,4,4,1,6,0.128352525
2,4,4,1,7,0.158150341
2,4,4,1,8,0.122560884
2,4,4,1,9,0
2,4,4,1,10,-0.106675786
2,4,4,1,11,-0.180828467
2,4,4,1,12,-0.095440531
2,5,4,1,1,0.400889482
2,5,4,1,2,-0.218524329
2,5,4,1,3,-0.218524329
2,5,4,1,4,-0.218524329
2,5,4,1,5,-0.218524329
2,5,4,1,6,-0.196779543
2,5,4,1,7,0.305157122
2,5,4,1,8,0.270263995
2,5,4,1,9,0.315094377
2,5,4,1,10,-0.218524329
2,5,4,1,11,0.313897096
2,5,4,1,12,0.387533862
2,6,4,1,1,0.121461183
2,6,4,1,2,0.146210773
2,6,4,1,5,-0.183089103
2,6,4,1,6,-0.183089103
2,6,4,1,7,-0.183089103
2,6,4,1,8,-0.170674213
2,6,4,1,9,-0.146210773
2,6,4,1,10,-0.183089103
2,6,4,1,11,-0.183089103
2,6,4,1,12,0.142310752
2,7,4,1,1,0.126718343
2,7,4,1,2,0.085444203
2,7,4,1,3,-0.10521442
2,7,4,1,4,0.126718343
2,7,4,1,5,0.21846574
2,7,4,1,6,0.17525776
2,7,4,1,7,0.145254849
2,7,4,1,8,0.190992525
2,7,4,1,9,-0.167050626
2,7,4,1,11,0.102820631
2,7,4,1,12,0.106948125
2,8,4,1,1,-0.182462889
2,8,4,1,3,-0.182462889
2,8,4,1,4,-0.182462889
2,8,4,1,5,-0.170153885
2,8,4,1,6,-0.170153885
2,8,4,1,7,-0.182462889
2,8,4,1,8,-0.130242681
2,8,4,1,9,-0.170153885
2,8,4,1,10,-0.144972719
2,8,4,1,11,0.214817361
2,1,5,2,1,0.329672587
2,1,5,2,2,0.344365788
2,1,5,2,3,-0.085115064
2,1,5,2,4,-0.21698445
2,1,5,2,5,0.15005058
2,1,5,2,6,0.160468281
2,1,5,2,7,-0.21698445
2,1,5,2,8,-0.085115064
2,1,5,2,9,0.202245889
2,1,5,2,10,-0.21698445
2,1,5,2,11,0.149280862
2,1,5,2,12,-0.21698445
2,2,5,2,1,0.347066511
2,2,5,2,2,-0.196822265
2,2,5,2,3,0.320472265
2,2,5,2,4,0.288668844
2,2,5,2,5,0.206887755
2,2,5,2,6,0.429883595
2,2,5,2,7,0.419401903
2,2,5,2,8,0.229960244
2,2,5,2,9,0.269161333
2,2,5,2,10,-0.005720954
2,2,5,2,11,0.15153933
2,2,5,2,12,0.227915891
2,3,5,2,1,0.331860127
2,3,5,2,2,0.17701191
2,3,5,2,3,0.244448237
2,3,5,2,4,0.266250873
2,3,5,2,5,0.226377355
2,3,5,2,6,-0.194041602
2,3,5,2,7,0.372283617
2,3,5,2,8,0.262141431
2,3,5,2,9,0.226377355
2,3,5,2,10,0.300922119
2,3,5,2,11,0.244448237
2,3,5,2,12,0.203711493
2,4,5,2,1,0.177625069
2,4,5,2,2,0.146789621
2,4,5,2,3,0.058223223
2,4,5,2,4,0.162310358
2,4,5,2,5,0.17657217
2,4,5,2,6,0.177437505
2,4,5,2,7,0.192958242
2,4,5,2,8,0.156374897
2,4,5,2,9,0.098133211
2,4,5,2,10,0.048320214
2,4,5,2,11,0.207220055
2,4,5,2,12,0.177643532
2,5,5,2,1,-0.21864333
2,5,5,2,2,0.482854066
2,5,5,2,3,-0.21864333
2,5,5,2,4,0.22167045
2,5,5,2,5,0.445718133
2,5,5,2,6,0.02920221
2,5,5,2,7,0.338120745
2,5,5,2,8,0.376749488
2,5,5,2,9,-0.196879555
2,5,5,2,10,-0.196879555
2,5,5,2,11,0.459462393
2,5,5,2,12,0.45439037
2,6,5,2,1,0.130689993
2,6,5,2,2,0
2,6,5,2,3,0.105948696
2,6,5,2,4,0.061061798
2,6,5,2,5,0.063644157
2,6,5,2,6,0.115379827
2,6,5,2,7,0.085533745
2,6,5,2,8,0.130689993
2,6,5,2,9,0.110275043
2,6,5,2,10,0.105948696
2,6,5,2,11,0.085533745
2,6,5,2,12,0.108800405
2,7,5,2,1,0.120354406
2,7,5,2,2,0.065065628
2,7,5,2,3,0.146034114
2,7,5,2,4,0.103831432
2,7,5,2,5,0.097507048
2,7,5,2,6,0.023107419
2,7,5,2,7,0.149557868
2,7,5,2,8,0.161868777
2,7,5,2,9,0.08542448
2,7,5,2,10,0.103959431
2,7,5,2,11,-0.003962116
2,7,5,2,12,0.101819455
2,8,5,2,1,-0.059051041
2,8,5,2,2,0.177204906
2,8,5,2,3,-0.170153885
2,8,5,2,4,-0.098307501
2,8,5,2,5,-0.170153885
2,8,5,2,6,-0.170153885
2,8,5,2,7,-0.144972719
2,8,5,2,8,-0.144972719
2,8,5,2,9,0.025079794
2,8,5,2,10,-0.03728541
2,8,5,2,11,0.192887017
2,8,5,2,12,0.144259796
2,1,6,2,1,0.037534586
2,1,6,2,2,0.2744232
2,1,6,2,3,0.174844958
2,1,6,2,4,0.245290852
2,1,6,2,5,0.12264965
2,1,6,2,6,0.278098038
2,1,6,2,7,0.471242735
2,1,6,2,8,0.298754811
2,1,6,2,9,0.304928171
2,1,6,2,10,0.259960023
2,1,6,2,11,0.174844958
2,1,6,2,12,0.063098682
2,2,6,2,1,0.270495891
2,2,6,2,3,0.249467755
2,2,6,2,4,0.269161333
2,2,6,2,5,0.248133197
2,2,6,2,6,0.288668844
2,2,6,2,7,0.248133197
2,2,6,2,8,-0.014008421
2,2,6,2,9,0.181274416
2,2,6,2,10,-0.087716619
2,2,6,2,11,0.229960244
2,2,6,2,12,0.365513229
2,3,6,2,1,0.284321755
2,3,6,2,2,-0.216721789
2,3,6,2,3,0.432337461
2,3,6,2,4,0.139380962
2,3,6,2,5,-0.216721789
2,3,6,2,6,-0.216721789
2,3,6,2,7,0.358559709
2,3,6,2,8,-0.194041602
2,3,6,2,9,0.282851237
2,3,6,2,10,0.280796655
2,3,6,2,11,-0.194041602
2,3,6,2,12,-0.216721789
2,4,6,2,1,0.115523097
2,4,6,2,2,0.062260504
2,4,6,2,3,0.162122795
2,4,6,2,4,0.021610894
2,4,6,2,5,0.034058402
2,4,6,2,6,0.146789621
2,4,6,2,7,0.207220055
2,4,6,2,8,0.157640916
2,4,6,2,9,0
2,4,6,2,10,0.146789621
2,4,6,2,11,0.028202102
2,4,6,2,12,0.12804593
2,5,6,2,1,0.332585055
2,5,6,2,2,0.22167045
2,5,6,2,3,0.043671204
2,5,6,2,4,0.050965984
2,5,6,2,5,0.239795637
2,5,6,2,6,-0.21864333
2,5,6,2,7,0.267221907
2,5,6,2,8,0.140721546
2,5,6,2,9,-0.087126925
2,5,6,2,10,-0.196879555
2,5,6,2,11,-0.21864333
2,5,6,2,12,-0.153208352
2,6,6,2,1,-0.108800405
2,6,6,2,2,0.080508926
2,6,6,2,3,-0.002582359
2,6,6,2,4,0.063644157
2,6,6,2,5,0.110275043
2,6,6,2,6,0.084059107
2,6,6,2,8,0.108800405
2,6,6,2,9,0
2,6,6,2,10,-0.049188207
2,6,6,2,11,-0.108800405
2,6,6,2,12,0.130689993
2,7,6,2,1,-0.10653172
2,7,6,2,2,-0.173103649
2,7,6,2,3,0.112494016
2,7,6,2,4,0.059300935
2,7,6,2,5,0.165392531
2,7,6,2,6,-0.186700789
2,7,6,2,7,0.101259143
2,7,6,2,8,0.111785249
2,7,6,2,9,0.129639139
2,7,6,2,10,-0.186700789
2,7,6,2,11,0.111104188
2,7,6,2,12,-0.133601255
2,8,6,2,1,0.099533642
2,8,6,2,2,0.102276407
2,8,6,2,3,-0.03728541
2,8,6,2,4,0.12832219
2,8,6,2,5,0.097002996
2,8,6,2,6,-0.107764127
2,8,6,2,7,-0.182462889
2,8,6,2,8,0.102667598
2,8,6,2,9,-0.170153885
2,8,6,2,10,0.224161962
2,8,6,2,11,0.05026096
2,8,6,2,12,-0.059051041
2,1,7,2,1,0.193752691
2,1,7,2,2,0.280616796
2,1,7,2,3,0.261831952
2,1,7,2,4,0.18965464
2,1,7,2,5,0.280616796
2,1,7,2,6,0.1516132
2,1,7,2,7,0.309407561
2,1,7,2,8,0.175614677
2,1,7,2,10,0.277468831
2,1,7,2,11,0.112887803
2,1,7,2,12,0.295079973
2,2,7,2,1,0.375361941
2,2,7,2,2,-0.219147513
2,2,7,2,3,0.179777774
2,2,7,2,4,0.249467755
2,2,7,2,5,-0.219147513
2,2,7,2,6,0.320472265
2,2,7,2,7,0.267640709
2,2,7,2,8,0.250988379
2,2,7,2,10,0.051310933
2,2,7,2,12,-0.219147513
2,3,7,2,1,0.370886421
2,3,7,2,2,-0.216721789
2,3,7,2,3,-0.216721789
2,3,7,2,4,-0.216721789
2,3,7,2,5,0.140206643
2,3,7,2,6,-0.194041602
2,3,7,2,7,0.257715296
2,3,7,2,8,0.17597072
2,3,7,2,9,-0.013923896
2,3,7,2,10,-0.216721789
2,3,7,2,11,0.150501242
2,3,7,2,12,0.086170711
2,4,7,2,1,0.191905344
2,4,7,2,2,0.146789621
2,4,7,2,3,0.105169017
2,4,7,2,4,0.106435035
2,4,7,2,5,0.146789621
2,4,7,2,6,0.10803622
2,4,7,2,7,0.211285555
2,4,7,2,8,0.083871399
2,4,7,2,9,0.146789621
2,4,7,2,10,0.12804593
2,4,7,2,11,0.049812997
2,4,7,2,12,0.11954802
2,5,7,2,1,-0.196879555
2,5,7,2,2,0.050965984
2,5,7,2,3,0.233150261
2,5,7,2,4,0.147689511
2,5,7,2,5,-0.21864333
2,5,7,2,6,-0.196879555
2,5,7,2,7,-0.21864333
2,5,7,2,8,-0.21864333
2,5,7,2,9,0.251484126
2,5,7,2,10,0.229720352
2,5,7,2,11,0.315367896
2,5,7,2,12,0.487641173
2,6,7,2,1,-0.183193496
2,6,7,2,2,0.028773257
2,6,7,2,3,0.18124681
2,6,7,2,4,0.105948696
2,6,7,2,5,0.0348709
2,6,7,2,6,0.105948696
2,6,7,2,7,-0.183193496
2,6,7,2,8,0.021889588
2,6,7,2,9,0.014315171
2,6,7,2,10,-0.183193496
2,6,7,2,11,0.149880834
2,6,7,2,12,0.146220903
2,7,7,2,1,-0.186700789
2,7,7,2,2,-0.186700789
2,7,7,2,3,0.221068105
2,7,7,2,4,0.182227629
2,7,7,2,5,0.212439117
2,7,7,2,6,0.181787506
2,7,7,2,7,0.119794094
2,7,7,2,8,0.049230965
2,7,7,2,9,0.165952843
2,7,7,2,10,0.129639139
2,7,7,2,11,0.080852012
2,7,7,2,12,0.087996769
2,8,7,2,1,0.129529758
2,8,7,2,2,0.028495329
2,8,7,2,3,0.163269985
2,8,7,2,4,0.212046491
2,8,7,2,5,-0.182462889
2,8,7,2,6,-0.107764127
2,8,7,2,7,-0.144972719
2,8,7,2,8,-0.025181166
2,8,7,2,9,0.084803604
2,8,7,2,10,0.028495329
2,8,7,2,11,-0.182462889
2,8,7,2,12,0
2,1,8,2,1,0.315632623
2,1,8,2,2,0.243563024
2,1,8,2,3,0.176681793
2,1,8,2,4,0.28109761
2,1,8,2,5,0.2550527
2,1,8,2,6,0.278098038
2,1,8,2,7,0.15005058
2,1,8,2,8,0.202245889
2,1,8,2,9,0.242772094
2,1,8,2,10,0.358405752
2,1,8,2,11,0.138080091
2,1,8,2,12,0.224634079
2,2,8,2,1,0.337653503
2,2,8,2,2,0.113329958
2,2,8,2,3,-0.219147513
2,2,8,2,4,0.206887755
2,2,8,2,5,0.283555323
2,2,8,2,6,0.464730326
2,2,8,2,7,0.267640709
2,2,8,2,8,0.284538883
2,2,8,2,9,0.304575303
2,2,8,2,10,0.282220765
2,2,8,2,11,0.087716619
2,2,8,2,12,0.153035972
2,3,8,2,1,0.150501242
2,3,8,2,2,0.301242898
2,3,8,2,3,0.282851237
2,3,8,2,4,0.33248582
2,3,8,2,5,0.245541068
2,3,8,2,6,0.224421298
2,3,8,2,7,-0.150501242
2,3,8,2,8,0.26361195
2,3,8,2,9,0.203711493
2,3,8,2,10,0.244448237
2,3,8,2,11,0.245541068
2,3,8,2,12,0.17597072
2,4,8,2,1,0.157828479
2,4,8,2,2,-0.180558734
2,4,8,2,3,0.185843018
2,4,8,2,4,0.069931109
2,4,8,2,5,0.125178727
2,4,8,2,6,-0.036612329
2,4,8,2,7,0.10803622
2,4,8,2,9,0.10803622
2,4,8,2,10,0.014261812
2,4,8,2,11,0.021610894
2,4,8,2,12,0.157640916
2,5,8,2,1,-0.196879555
2,5,8,2,2,0.43316125
2,5,8,2,3,0.487641173
2,5,8,2,4,0.400442421
2,5,8,2,5,0.112672941
2,5,8,2,6,0.270370188
2,5,8,2,7,0.345316046
2,5,8,2,8,0.293417328
2,5,8,2,9,-0.153208352
2,5,8,2,10,-0.153208352
2,5,8,2,11,-0.153208352
2,5,8,2,12,0.319936051
2,6,8,2,1,-0.183193496
2,6,8,2,2,0.146525059
2,6,8,2,3,0.121479606
2,6,8,2,4,0.146220903
2,6,8,2,5,0.1657159
2,6,8,2,6,0.056760489
2,6,8,2,7,0.063644157
2,6,8,2,8,-0.183193496
2,6,8,2,9,0.195711131
2,6,8,2,10,0.021889588
2,6,8,2,11,0.121479606
2,6,8,2,12,0.085533745
2,7,8,2,1,0.143333826
2,7,8,2,2,0.200709253
2,7,8,2,3,0.08542448
2,7,8,2,4,-0.186700789
2,7,8,2,5,0.111104188
2,7,8,2,6,0.165392531
2,7,8,2,7,0.147423941
2,7,8,2,8,0.149557868
2,7,8,2,9,0.161868777
2,7,8,2,10,0.103959431
2,7,8,2,11,0.119794094
2,7,8,2,12,0.161868777
2,8,8,2,1,-0.107764127
2,8,8,2,2,0.148539947
2,8,8,2,3,-0.144972719
2,8,8,2,4,0.144259796
2,8,8,2,5,0.148539947
2,8,8,2,6,0.179665019
2,8,8,2,7,-0.145254297
2,8,8,2,8,-0.144972719
2,8,8,2,9,-0.170153885
2,8,8,2,10,-0.144972719
2,8,8,2,11,-0.144972719
2,8,8,2,12,-0.107764127
2,1,9,3,1,0.281322847
2,1,9,3,2,0.162470867
2,1,9,3,3,-0.085366811
2,1,9,3,4,0.357574697
2,1,9,3,5,-0.217177066
2,1,9,3,6,0.340036429
2,1,9,3,7,0.35790266
2,1,9,3,8,-0.217177066
2,1,9,3,9,0.463976267
2,1,9,3,10,0.349379033
2,1,9,3,11,0.260610494
2,1,9,3,12,0.453298314
2,2,9,3,1,0.224991736
2,2,9,3,2,-0.219025772
2,2,9,3,3,0.305312204
2,2,9,3,4,-0.219025772
2,2,9,3,5,0.478806957
2,2,9,3,6,-0.219025772
2,2,9,3,7,0.327408158
2,2,9,3,8,-0.219025772
2,2,9,3,9,0.196662997
2,2,9,3,10,-0.005640238
2,2,9,3,11,0.063766495
2,2,9,3,12,0.224881106
2,3,9,3,1,0.342343253
2,3,9,3,2,0.242818913
2,3,9,3,3,0.277194768
2,3,9,3,4,0.374423069
2,3,9,3,5,-0.216891468
2,3,9,3,6,0.374423069
2,3,9,3,7,0.275327928
2,3,9,3,8,0.226698639
2,3,9,3,9,0.226698639
2,3,9,3,10,0.260652427
2,3,9,3,11,0.297922251
2,3,9,3,12,0.360492951
2,4,9,3,1,0.02833127
2,4,9,3,2,0.147431432
2,4,9,3,3,0.123017273
2,4,9,3,4,-0.168406258
2,4,9,3,5,0.172382582
2,4,9,3,6,0.062541742
2,4,9,3,7,0.178406346
2,4,9,3,8,0.255890115
2,4,9,3,9,0.1617128
2,4,9,3,10,0.141611443
2,4,9,3,11,-0.168406258
2,4,9,3,12,0
2,5,9,3,1,0.320037613
2,5,9,3,2,0.315002432
2,5,9,3,3,0.142601836
2,5,9,3,4,0.202246154
2,5,9,3,5,0.191430037
2,5,9,3,6,0.179338963
2,5,9,3,7,-0.218546137
2,5,9,3,8,-0.218546137
2,5,9,3,9,0.251636042
2,5,9,3,10,0.206782839
2,5,9,3,11,-0.061553534
2,5,9,3,12,0.249057785
2,6,9,3,1,0.093110937
2,6,9,3,2,0.096510823
2,6,9,3,3,0
2,6,9,3,4,0.145692739
2,6,9,3,5,0.085224789
2,6,9,3,6,0.128971652
2,6,9,3,7,0.084988251
2,6,9,3,8,0.128971652
2,6,9,3,9,0.099535363
2,6,9,3,10,-0.182611271
2,6,9,3,11,0.192595325
2,6,9,3,12,0.12747975
2,7,9,3,1,0.17152481
2,7,9,3,2,0.147254982
2,7,9,3,3,0.137609252
2,7,9,3,4,0.274852099
2,7,9,3,5,0.11160066
2,7,9,3,6,0.088095734
2,7,9,3,7,0.169395873
2,7,9,3,8,0.167909774
2,7,9,3,9,0.061467076
2,7,9,3,10,0.186266334
2,7,9,3,11,0.121480271
2,7,9,3,12,0.111034531
2,8,9,3,1,-0.177053304
2,8,9,3,2,-0.177053304
2,8,9,3,3,0
2,8,9,3,4,-0.139142628
2,8,9,3,5,-0.103097635
2,8,9,3,6,-0.041784953
2,8,9,3,7,0.083692967
2,8,9,3,8,0.054043876
2,8,9,3,9,-0.139142628
2,8,9,3,10,-0.164030838
2,8,9,3,11,-0.177053304
2,8,9,3,12,0.07486692
2,1,10,3,1,0.281322847
2,1,10,3,2,0.340036429
2,1,10,3,3,0.298246072
2,1,10,3,4,-0.217177066
2,1,10,3,5,0.217462131
2,1,10,3,6,0.149705256
2,1,10,3,7,-0.217177066
2,1,10,3,8,-0.193363486
2,1,10,3,9,0.312752027
2,1,10,3,10,0.316365874
2,1,10,3,11,-0.217177066
2,1,10,3,12,0.350387605
2,2,10,3,1,0.350685093
2,2,10,3,2,0.20965282
2,2,10,3,3,0.231756231
